,efficiency,emission_factor,max_power,min_power,node,simulation,technology,unit_operator
Wind Onshore,1,0,53190,0,node0,germany_un_base_case_2019,wind_onshore,renewables_operator
Wind Offshore,1,0,7560,0,node0,germany_un_base_case_2019,wind_offshore,renewables_operator
Solar,1,0,48860,0,node0,germany_un_base_case_2019,solar,renewables_operator
Hydro,1,0,4940,0,node0,germany_un_base_case_2019,hydro,renewables_operator
Biomass,1,0,8340,0,node0,germany_un_base_case_2019,biomass,renewables_operator
WUPPERTAL ELBERFELD 2,0.405,0.335,102,50,node0,germany_un_base_case_2019,hard coal,WSW - WUPPERTALER STADTWERKE AG
HKW BARMEN I WUPPERTAL,0.54,0.201,88,36,node0,germany_un_base_case_2019,combined cycle gas turbine,WSW - WUPPERTALER STADTWERKE AG
BARMEN II,0.339,0.776,111,30,node0,germany_un_base_case_2019,oil,WSW - WUPPERTALER STADTWERKE AG
HKW SANDREUTH 1 NUERNBERG,0.52,0.201,75,30,node0,germany_un_base_case_2019,combined cycle gas turbine,N-ERGIE AG
HKW SANDREUTH 2 NUERNBERG,0.52,0.201,75,30,node0,germany_un_base_case_2019,combined cycle gas turbine,N-ERGIE AG
IKW GENDORF INFRASERV,0.369,0.201,49,13,node0,germany_un_base_case_2019,open cycle gas turbine,INFRASERV
HKW OFFENBACH 1,0.406,0.335,64,26,node0,germany_un_base_case_2019,hard coal,EVS OFFENBACH AG
GUD ANLAGE RÜSSELSHEIM OPEL,0.506,0.201,112,50,node0,germany_un_base_case_2019,combined cycle gas turbine,OPEL EUROPE
KW LAUSWARD BLOCK FORTUNA GUD,0.6,0.201,595,240,node0,germany_un_base_case_2019,combined cycle gas turbine,STADTWERKE DUESSELDORF
KW LAUSWARD BLOCK EMIL GUD,0.363,0.201,424,170,node0,germany_un_base_case_2019,combined cycle gas turbine,STADTWERKE DUESSELDORF
KW LAUSWARD BLOCK ANTON GUD,0.54,0.201,100,40,node0,germany_un_base_case_2019,combined cycle gas turbine,STADTWERKE DUESSELDORF
HKW FRANKFURT WEST 2,0.405,0.335,69,28,node0,germany_un_base_case_2019,hard coal,MAINOVA AG
HKW FRANKFURT WEST 3,0.405,0.335,69,28,node0,germany_un_base_case_2019,hard coal,MAINOVA AG
HKW FRANKFURT WEST GT,0.352,0.201,98,25,node0,germany_un_base_case_2019,open cycle gas turbine,MAINOVA AG
GKM 9,0.454,0.335,911,370,node0,germany_un_base_case_2019,hard coal,GROSSKRAFTWERK MANNHEIM AG
GKM 8,0.412,0.335,480,200,node0,germany_un_base_case_2019,hard coal,GROSSKRAFTWERK MANNHEIM AG
GKM 7,0.39,0.335,475,190,node0,germany_un_base_case_2019,hard coal,GROSSKRAFTWERK MANNHEIM AG
GKM 6,0.44,0.335,280,120,node0,germany_un_base_case_2019,hard coal,GROSSKRAFTWERK MANNHEIM AG
HALLE TROTHA,0.525,0.201,97,39,node0,germany_un_base_case_2019,combined cycle gas turbine,EVH GMBH
KW HALLE DIESELSTRASSE BLOCK 1,0.44,0.201,47,19,node0,germany_un_base_case_2019,combined cycle gas turbine,EVH GMBH
KW HALLE DIESELSTRASSE BLOCK 2,0.44,0.201,47,19,node0,germany_un_base_case_2019,combined cycle gas turbine,EVH GMBH
SCHWERIN SUD,0.471,0.201,70,28,node0,germany_un_base_case_2019,combined cycle gas turbine,STADTWERKE SCHWERIN
HKW SCHWERIN LANKOW,0.471,0.201,24,10,node0,germany_un_base_case_2019,combined cycle gas turbine,STADTWERKE SCHWERIN
PKV KRAFTWERK VAREL,0.38,0.201,58,24,node0,germany_un_base_case_2019,combined cycle gas turbine,PAPIER- UND KARTONFABRIK VAREL
HKW GUD NEUBRANDENBURG,0.489,0.201,75,30,node0,germany_un_base_case_2019,combined cycle gas turbine,NEUBRANDENBURGER STADTWERKE
KWK ANLAGE KREFELD,0.42,0.201,26,11,node0,germany_un_base_case_2019,combined cycle gas turbine,LANXESS
KWK ANLAGE MOHN MEDIA GÜTERSLOH,0.45,0.201,22,9,node0,germany_un_base_case_2019,combined cycle gas turbine,MOHN MEDIA
KASSEL SWEW 1,0.37,0.335,36,15,node0,germany_un_base_case_2019,hard coal,KASSELER VERKEHRS- UND VERSORGUNGS GMBH
HKW KASSEL KOMBI,0.426,0.201,53,22,node0,germany_un_base_case_2019,combined cycle gas turbine,KASSELER VERKEHRS- UND VERSORGUNGS GMBH
FREIBURG WVK,0.48,0.201,60,24,node0,germany_un_base_case_2019,combined cycle gas turbine,BADENOVA AG & CO KG
HKW HILTROP BOCHUM,0.43,0.201,44,18,node0,germany_un_base_case_2019,combined cycle gas turbine,STADTWERKE BOCHUM AG
HKW LEIPZIG NORD GUD,0.49,0.201,171,70,node0,germany_un_base_case_2019,combined cycle gas turbine,STADTWERKE LEIPZIG GMBH
LIPPENDORF R,0.416,0.406,933,470,node0,germany_un_base_case_2019,lignite,VATTENFALL EUROPE AG
LIPPENDORF S,0.415,0.406,933,470,node0,germany_un_base_case_2019,lignite,VATTENFALL EUROPE AG
BOXBERG Q,0.415,0.406,907,460,node0,germany_un_base_case_2019,lignite,VATTENFALL EUROPE AG
SCHWARZE PUMPE A,0.408,0.406,800,400,node0,germany_un_base_case_2019,lignite,VATTENFALL EUROPE AG
SCHWARZE PUMPE B,0.407,0.406,800,400,node0,germany_un_base_case_2019,lignite,VATTENFALL EUROPE AG
BOXBERG R,0.433,0.406,675,340,node0,germany_un_base_case_2019,lignite,VATTENFALL EUROPE AG
JAENSCHWALDE D,0.388,0.406,500,250,node0,germany_un_base_case_2019,lignite,VATTENFALL EUROPE AG
JAENSCHWALDE E,0.386,0.406,500,250,node0,germany_un_base_case_2019,lignite,VATTENFALL EUROPE AG
JAENSCHWALDE F,0.386,0.406,500,250,node0,germany_un_base_case_2019,lignite,VATTENFALL EUROPE AG
JAENSCHWALDE B,0.38,0.406,500,250,node0,germany_un_base_case_2019,lignite,VATTENFALL EUROPE AG
JAENSCHWALDE C,0.379,0.406,500,250,node0,germany_un_base_case_2019,lignite,VATTENFALL EUROPE AG
BOXBERG P,0.372,0.406,500,250,node0,germany_un_base_case_2019,lignite,VATTENFALL EUROPE AG
JAENSCHWALDE A,0.37,0.406,500,250,node0,germany_un_base_case_2019,lignite,VATTENFALL EUROPE AG
BOXBERG N,0.362,0.406,500,250,node0,germany_un_base_case_2019,lignite,VATTENFALL EUROPE AG
KLINGENBERG 5,0.388,0.406,60,30,node0,germany_un_base_case_2019,lignite,VATTENFALL EUROPE AG
KLINGENBERG 6,0.388,0.406,60,30,node0,germany_un_base_case_2019,lignite,VATTENFALL EUROPE AG
KLINGENBERG 4,0.37,0.406,60,30,node0,germany_un_base_case_2019,lignite,VATTENFALL EUROPE AG
MOORBURG A,0.465,0.335,865,350,node0,germany_un_base_case_2019,hard coal,VATTENFALL EUROPE AG
MOORBURG B,0.465,0.335,865,350,node0,germany_un_base_case_2019,hard coal,VATTENFALL EUROPE AG
HKW BERLIN REUTER WEST E,0.405,0.335,300,120,node0,germany_un_base_case_2019,hard coal,VATTENFALL EUROPE AG
HKW BERLIN REUTER WEST D,0.382,0.335,300,120,node0,germany_un_base_case_2019,hard coal,VATTENFALL EUROPE AG
HAMBURG TIEFSTACK,0.412,0.335,180,80,node0,germany_un_base_case_2019,hard coal,VATTENFALL EUROPE AG
WEDEL 1,0.329,0.335,153,70,node0,germany_un_base_case_2019,hard coal,VATTENFALL EUROPE AG
WEDEL 2,0.329,0.335,137,60,node0,germany_un_base_case_2019,hard coal,VATTENFALL EUROPE AG
KW BERLIN REUTER BlOCK C,0.347,0.335,132,60,node0,germany_un_base_case_2019,hard coal,VATTENFALL EUROPE AG
BERLIN MOABIT A,0.404,0.335,102,50,node0,germany_un_base_case_2019,hard coal,VATTENFALL EUROPE AG
BERLIN MITTE HKW,0.488,0.201,444,180,node0,germany_un_base_case_2019,combined cycle gas turbine,VATTENFALL EUROPE AG
HAMBURG TIEFSTACK GUD,0.556,0.201,156,70,node0,germany_un_base_case_2019,combined cycle gas turbine,VATTENFALL EUROPE AG
LICHTERFELDE 2,0.298,0.201,150,40,node0,germany_un_base_case_2019,open cycle gas turbine,VATTENFALL EUROPE AG
CHARLOTTENBURG GT 1,0.308,0.201,71,18,node0,germany_un_base_case_2019,open cycle gas turbine,VATTENFALL EUROPE AG
CHARLOTTENBURG GT 2,0.308,0.201,71,18,node0,germany_un_base_case_2019,open cycle gas turbine,VATTENFALL EUROPE AG
CHARLOTTENBURG GT 3,0.308,0.201,60,15,node0,germany_un_base_case_2019,open cycle gas turbine,VATTENFALL EUROPE AG
AHRENSFELDE GT D,0.353,0.201,38,10,node0,germany_un_base_case_2019,open cycle gas turbine,VATTENFALL EUROPE AG
AHRENSFELDE GT A,0.344,0.201,38,10,node0,germany_un_base_case_2019,open cycle gas turbine,VATTENFALL EUROPE AG
AHRENSFELDE GT B,0.344,0.201,38,10,node0,germany_un_base_case_2019,open cycle gas turbine,VATTENFALL EUROPE AG
THYROW GT E,0.344,0.201,38,10,node0,germany_un_base_case_2019,open cycle gas turbine,VATTENFALL EUROPE AG
AHRENSFELDE GT C,0.343,0.201,38,10,node0,germany_un_base_case_2019,open cycle gas turbine,VATTENFALL EUROPE AG
LICHTERFELDE 1,0.298,0.776,150,40,node0,germany_un_base_case_2019,oil,VATTENFALL EUROPE AG
WILMERSDORF GT 2,0.307,0.776,110,30,node0,germany_un_base_case_2019,oil,VATTENFALL EUROPE AG
WILMERSDORF GT 3,0.307,0.776,110,30,node0,germany_un_base_case_2019,oil,VATTENFALL EUROPE AG
WEDEL GT 1,0.298,0.776,51,13,node0,germany_un_base_case_2019,oil,VATTENFALL EUROPE AG
WEDEL GT 2,0.298,0.776,51,13,node0,germany_un_base_case_2019,oil,VATTENFALL EUROPE AG
KW OBERNBURG GT1,0.36,0.201,64,16,node0,germany_un_base_case_2019,open cycle gas turbine,AKZO NOBEL FIBERS BV
GUD BIELEFELD HILLEGOSSEN,0.54,0.201,38,16,node0,germany_un_base_case_2019,combined cycle gas turbine,STADTWERKE BIELEFELD GMBH
GTKW BIELEFELD UMMELN,0.31,0.201,60,15,node0,germany_un_base_case_2019,open cycle gas turbine,STADTWERKE BIELEFELD GMBH
PEISSENBERG 1,0.326,0.776,44,11,node0,germany_un_base_case_2019,oil,PEISSENBERGER KRAFTWERKS GMBH
HKW ERFURT OST,0.506,0.201,117,50,node0,germany_un_base_case_2019,combined cycle gas turbine,SWE STADTWERKE ERFURT GMBH
CHEMNITZ NORD II BLOCK C,0.395,0.406,75,38,node0,germany_un_base_case_2019,lignite,EINS ENERGIE IN SACHSEN GMBH
CHEMNITZ NORD II BLOCK B,0.386,0.406,67,34,node0,germany_un_base_case_2019,lignite,EINS ENERGIE IN SACHSEN GMBH
HKW CHEMNITZ NORD II BLOCK A,0.335,0.201,67,17,node0,germany_un_base_case_2019,open cycle gas turbine,EINS ENERGIE IN SACHSEN GMBH
HKW FRANKFURT ODER AM HOHEN FELD,0.4,0.201,78,32,node0,germany_un_base_case_2019,combined cycle gas turbine,STADTWERKE FRANKFURT (ODER)
BREMEN HAFEN 6,0.452,0.335,330,140,node0,germany_un_base_case_2019,hard coal,SWB AG
BREMEN HASTEDT 15,0.405,0.335,130,60,node0,germany_un_base_case_2019,hard coal,SWB AG
KW BREMEN MITTELSBUEREN BLOCK 5 GUD,0.58,0.201,445,180,node0,germany_un_base_case_2019,combined cycle gas turbine,SWB AG
KW MITTELSBUEREN BLOCK 4,0.374,0.201,150,40,node0,germany_un_base_case_2019,open cycle gas turbine,SWB AG
KW BREMEN HASTEDT 14,0.298,0.201,150,40,node0,germany_un_base_case_2019,open cycle gas turbine,SWB AG
MITTELSBUEREN GT 3,0.308,0.776,88,22,node0,germany_un_base_case_2019,oil,SWB AG
HKW ERLANGEN,0.54,0.201,30,12,node0,germany_un_base_case_2019,combined cycle gas turbine,ESTW - ERLANGER STADTWERKE AG
BERGKAMEN A,0.38,0.335,777,320,node0,germany_un_base_case_2019,hard coal,EVONIK INDUSTRIES AG
KW MARL BLOCK 312 EVONIK,0.4,0.201,78,20,node0,germany_un_base_case_2019,open cycle gas turbine,EVONIK INDUSTRIES AG
KKW EMSLAND,0.33,0,1406,560,node0,germany_un_base_case_2019,nuclear,Operator-RL
KKW GUNDREMMINGEN C,0.33,0,1344,540,node0,germany_un_base_case_2019,nuclear,Operator-RL
NEURATH F,0.434,0.406,1120,560,node0,germany_un_base_case_2019,lignite,Operator-RL
NEURATH G,0.434,0.406,1120,560,node0,germany_un_base_case_2019,lignite,Operator-RL
NIEDERAUSSEM K,0.422,0.406,1012,510,node0,germany_un_base_case_2019,lignite,Operator-RL
NIEDERAUSSEM G,0.38,0.406,620,310,node0,germany_un_base_case_2019,lignite,Operator-RL
NIEDERAUSSEM H,0.374,0.406,620,310,node0,germany_un_base_case_2019,lignite,Operator-RL
NEURATH D,0.364,0.406,600,300,node0,germany_un_base_case_2019,lignite,Operator-RL
WEISWEILER H,0.364,0.406,600,300,node0,germany_un_base_case_2019,lignite,Operator-RL
NEURATH E,0.363,0.406,600,300,node0,germany_un_base_case_2019,lignite,Operator-RL
WEISWEILER G,0.354,0.406,600,300,node0,germany_un_base_case_2019,lignite,Operator-RL
NIEDERAUSSEM C,0.338,0.406,335,170,node0,germany_un_base_case_2019,lignite,Operator-RL
NIEDERAUSSEM F,0.346,0.406,320,160,node0,germany_un_base_case_2019,lignite,Operator-RL
NIEDERAUSSEM E,0.346,0.406,315,160,node0,germany_un_base_case_2019,lignite,Operator-RL
NEURATH A,0.355,0.406,300,150,node0,germany_un_base_case_2019,lignite,Operator-RL
NEURATH B,0.355,0.406,300,150,node0,germany_un_base_case_2019,lignite,Operator-RL
NEURATH C,0.355,0.406,300,150,node0,germany_un_base_case_2019,lignite,Operator-RL
FRIMMERSDORF Q,0.346,0.406,300,150,node0,germany_un_base_case_2019,lignite,Operator-RL
WEISWEILER E,0.338,0.406,300,150,node0,germany_un_base_case_2019,lignite,Operator-RL
FRIMMERSDORF P,0.337,0.406,300,150,node0,germany_un_base_case_2019,lignite,Operator-RL
NIEDERAUSSEM D,0.337,0.406,300,150,node0,germany_un_base_case_2019,lignite,Operator-RL
WEISWEILER F,0.337,0.406,300,150,node0,germany_un_base_case_2019,lignite,Operator-RL
FRECHEN WACHTBERG,0.31,0.406,201,110,node0,germany_un_base_case_2019,lignite,Operator-RL
WESTFALEN E,0.452,0.335,820,330,node0,germany_un_base_case_2019,hard coal,Operator-RL
IBBENBUEREN B NO 1,0.398,0.335,808,330,node0,germany_un_base_case_2019,hard coal,Operator-RL
GERSTEINWERK BLOCK K,0.42,0.335,670,270,node0,germany_un_base_case_2019,hard coal,Operator-RL
EMSLAND LINGEN D,0.592,0.201,850,340,node0,germany_un_base_case_2019,combined cycle gas turbine,Operator-RL
DORMAGEN RWE,0.523,0.201,580,240,node0,germany_un_base_case_2019,combined cycle gas turbine,Operator-RL
EMSLAND LINGEN B,0.46,0.201,481,200,node0,germany_un_base_case_2019,combined cycle gas turbine,Operator-RL
EMSLAND LINGEN C,0.46,0.201,481,200,node0,germany_un_base_case_2019,combined cycle gas turbine,Operator-RL
GERSTEINWERK BLOCK F,0.41,0.201,410,170,node0,germany_un_base_case_2019,combined cycle gas turbine,Operator-RL
GERSTEINWERK BLOCK G,0.41,0.201,410,170,node0,germany_un_base_case_2019,combined cycle gas turbine,Operator-RL
HKW HOECHST BUSINESS PARK,0.55,0.201,200,80,node0,germany_un_base_case_2019,combined cycle gas turbine,Operator-RL
KW WEISWEILER VGT BLOCK G,0.377,0.201,272,70,node0,germany_un_base_case_2019,open cycle gas turbine,Operator-RL
KW WEISWEILER VGT BLOCK H,0.377,0.201,272,70,node0,germany_un_base_case_2019,open cycle gas turbine,Operator-RL
GERSTEINWERK BLOCK I GT,0.308,0.201,55,14,node0,germany_un_base_case_2019,open cycle gas turbine,Operator-RL
MEHRUM,0.382,0.335,752,310,node0,germany_un_base_case_2019,hard coal,STADTWERKE HANNOVER AG
GKH HANNOVER,0.405,0.335,300,120,node0,germany_un_base_case_2019,hard coal,STADTWERKE HANNOVER AG
HKW HANNOVER LINDEN,0.53,0.201,242,100,node0,germany_un_base_case_2019,combined cycle gas turbine,STADTWERKE HANNOVER AG
KW HANNOVER HERRENHAUSEN B,0.38,0.201,100,30,node0,germany_un_base_case_2019,open cycle gas turbine,STADTWERKE HANNOVER AG
KARLSRUHE WEST 3,0.388,0.335,42,17,node0,germany_un_base_case_2019,hard coal,STADTWERKE KARLSRUHE GMBH
KARLSRUHE WEST 1,0.388,0.335,32,13,node0,germany_un_base_case_2019,hard coal,STADTWERKE KARLSRUHE GMBH
KARLSRUHE WEST 2,0.388,0.335,32,13,node0,germany_un_base_case_2019,hard coal,STADTWERKE KARLSRUHE GMBH
HKW UNTERBREIZBACH,0.315,0.201,34,14,node0,germany_un_base_case_2019,combined cycle gas turbine,K+S AG
KW ZIELITZ,0.41,0.201,52,13,node0,germany_un_base_case_2019,open cycle gas turbine,K+S AG
WERDOHL ELVERLINGSEN E4,0.39,0.335,315,130,node0,germany_un_base_case_2019,hard coal,ENERVIE - SUEDWESTFALEN ENERGIE
KW HERDECKE CUNO MARK E,0.548,0.201,417,170,node0,germany_un_base_case_2019,combined cycle gas turbine,ENERVIE - SUEDWESTFALEN ENERGIE
HKW HAGEN KABEL,0.39,0.201,230,100,node0,germany_un_base_case_2019,combined cycle gas turbine,ENERVIE - SUEDWESTFALEN ENERGIE
WERDOHL ELVERLINGSEN 2,0.307,0.776,107,30,node0,germany_un_base_case_2019,oil,ENERVIE - SUEDWESTFALEN ENERGIE
WERDOHL ELVERLINGSEN 1,0.308,0.776,98,25,node0,germany_un_base_case_2019,oil,ENERVIE - SUEDWESTFALEN ENERGIE
LUENEN 2 STUMMHAFEN,0.459,0.335,750,300,node0,germany_un_base_case_2019,hard coal,TRIANEL GMBH
HAMM UENTROP BLOCK 10,0.575,0.201,400,160,node0,germany_un_base_case_2019,combined cycle gas turbine,TRIANEL GMBH
HAMM UENTROP BLOCK 20,0.575,0.201,400,160,node0,germany_un_base_case_2019,combined cycle gas turbine,TRIANEL GMBH
GTKW DARMSTADT GT 1,0.396,0.201,47,12,node0,germany_un_base_case_2019,open cycle gas turbine,ENTEGA AG
GTKW DARMSTADT GT 2,0.396,0.201,47,12,node0,germany_un_base_case_2019,open cycle gas turbine,ENTEGA AG
GUD HUERTH KNAPSACK 1,0.548,0.201,800,320,node0,germany_un_base_case_2019,combined cycle gas turbine,STATKRAFT AS
GUD HUERTH KNAPSACK 2,0.59,0.201,430,180,node0,germany_un_base_case_2019,combined cycle gas turbine,STATKRAFT AS
KW LANDESBERGEN GT,0.345,0.201,56,14,node0,germany_un_base_case_2019,open cycle gas turbine,STATKRAFT AS
KW EMDEN BLOCK 4 GT,0.308,0.201,50,13,node0,germany_un_base_case_2019,open cycle gas turbine,STATKRAFT AS
HKW SUD SAARBRUECKEN,0.59,0.201,39,16,node0,germany_un_base_case_2019,combined cycle gas turbine,VVS SAARBRUECKEN
INDUSTRIEKRAFTWERK BERNBURG (IKB),0.36,0.201,66,17,node0,germany_un_base_case_2019,open cycle gas turbine,SOLVAY SA
WALSUM 10,0.454,0.335,790,320,node0,germany_un_base_case_2019,hard coal,STEAG GMBH
BEXBACH C 1,0.389,0.335,773,310,node0,germany_un_base_case_2019,hard coal,STEAG GMBH
WEIHER 3,0.373,0.335,707,290,node0,germany_un_base_case_2019,hard coal,STEAG GMBH
HERNE BLOCK 4,0.405,0.335,500,200,node0,germany_un_base_case_2019,hard coal,STEAG GMBH
WALSUM BLOCK 9,0.406,0.335,410,170,node0,germany_un_base_case_2019,hard coal,STEAG GMBH
HKW FENNE C,0.405,0.335,212,90,node0,germany_un_base_case_2019,hard coal,STEAG GMBH
MKW FENNE B,0.39,0.335,195,80,node0,germany_un_base_case_2019,hard coal,STEAG GMBH
GUD LEUNA,0.57,0.201,129,60,node0,germany_un_base_case_2019,combined cycle gas turbine,STEAG GMBH
KW LEUNA GT 3,0.36,0.201,38,10,node0,germany_un_base_case_2019,open cycle gas turbine,STEAG GMBH
PFORZHEIM III NO 1,0.405,0.335,30,12,node0,germany_un_base_case_2019,hard coal,SWP - STADTWERKE PFORZHEIM GMBH
HKW PFORZHEIM,0.326,0.201,41,17,node0,germany_un_base_case_2019,combined cycle gas turbine,SWP - STADTWERKE PFORZHEIM GMBH
DKW BGH O1 BURGHAUSEN WACKER CHEMIE,0.36,0.201,178,50,node0,germany_un_base_case_2019,open cycle gas turbine,WACKER-CHEMIE GMBH
MERKENICH BLOCK 6,0.325,0.406,82,41,node0,germany_un_base_case_2019,lignite,RHEINENERGIE AG
KOELN NIEHL 2,0.54,0.201,405,170,node0,germany_un_base_case_2019,combined cycle gas turbine,RHEINENERGIE AG
HKW KOELN MERKENICH GUD,0.505,0.201,110,50,node0,germany_un_base_case_2019,combined cycle gas turbine,RHEINENERGIE AG
KKW PHILIPPSBURG 2,0.33,0,1468,590,node0,germany_un_base_case_2019,nuclear,ENBW ENERGIE BADEN-WURTTEMBERG
KKW NECKARWESTHEIM,0.33,0,1400,560,node0,germany_un_base_case_2019,nuclear,ENBW ENERGIE BADEN-WURTTEMBERG
RDK (KARLSRUHE) 8,0.452,0.335,912,370,node0,germany_un_base_case_2019,hard coal,ENBW ENERGIE BADEN-WURTTEMBERG
HEILBRONN 7,0.398,0.335,760,310,node0,germany_un_base_case_2019,hard coal,ENBW ENERGIE BADEN-WURTTEMBERG
ROSTOCK 1,0.432,0.335,553,230,node0,germany_un_base_case_2019,hard coal,ENBW ENERGIE BADEN-WURTTEMBERG
RDK (KARLSRUHE) 7,0.398,0.335,550,220,node0,germany_un_base_case_2019,hard coal,ENBW ENERGIE BADEN-WURTTEMBERG
ALTBACH DEIZISAU HKW I,0.398,0.335,460,190,node0,germany_un_base_case_2019,hard coal,ENBW ENERGIE BADEN-WURTTEMBERG
ALTBACH DEIZISAU HKW II,0.428,0.335,348,140,node0,germany_un_base_case_2019,hard coal,ENBW ENERGIE BADEN-WURTTEMBERG
WALHEIM 2,0.338,0.335,160,70,node0,germany_un_base_case_2019,hard coal,ENBW ENERGIE BADEN-WURTTEMBERG
HEILBRONN 6,0.347,0.335,125,50,node0,germany_un_base_case_2019,hard coal,ENBW ENERGIE BADEN-WURTTEMBERG
HEILBRONN 5,0.338,0.335,125,50,node0,germany_un_base_case_2019,hard coal,ENBW ENERGIE BADEN-WURTTEMBERG
WALHEIM 1,0.347,0.335,103,50,node0,germany_un_base_case_2019,hard coal,ENBW ENERGIE BADEN-WURTTEMBERG
STUTTGART MUENSTER K25,0.38,0.335,70,28,node0,germany_un_base_case_2019,hard coal,ENBW ENERGIE BADEN-WURTTEMBERG
RDK (KARLSRUHE) 4RP,0.497,0.201,378,160,node0,germany_un_base_case_2019,combined cycle gas turbine,ENBW ENERGIE BADEN-WURTTEMBERG
ALTBACH II GT E,0.361,0.201,65,17,node0,germany_un_base_case_2019,open cycle gas turbine,ENBW ENERGIE BADEN-WURTTEMBERG
MARBACH 3,0.308,0.776,275,70,node0,germany_un_base_case_2019,oil,ENBW ENERGIE BADEN-WURTTEMBERG
WALHEIM GT 1,0.326,0.776,120,30,node0,germany_un_base_case_2019,oil,ENBW ENERGIE BADEN-WURTTEMBERG
ALTBACH I GT 3,0.298,0.776,97,25,node0,germany_un_base_case_2019,oil,ENBW ENERGIE BADEN-WURTTEMBERG
FLINGERN GT 1,0.298,0.776,77,20,node0,germany_un_base_case_2019,oil,ENBW ENERGIE BADEN-WURTTEMBERG
ALTBACH I GT 2,0.298,0.776,75,19,node0,germany_un_base_case_2019,oil,ENBW ENERGIE BADEN-WURTTEMBERG
MARBACH 3 GT 1,0.35,0.776,60,15,node0,germany_un_base_case_2019,oil,ENBW ENERGIE BADEN-WURTTEMBERG
ALTBACH I NO 5 GT 1,0.298,0.776,50,13,node0,germany_un_base_case_2019,oil,ENBW ENERGIE BADEN-WURTTEMBERG
UPM SCHONGAU,0.308,0.201,45,12,node0,germany_un_base_case_2019,open cycle gas turbine,UPM OYJ
HKW MUENCHEN NORD 2,0.412,0.335,365,150,node0,germany_un_base_case_2019,hard coal,STADTWERKE MUENCHEN GMBH
HKW MUENCHEN SUED GUD,0.54,0.201,426,180,node0,germany_un_base_case_2019,combined cycle gas turbine,STADTWERKE MUENCHEN GMBH
HKW MUENCHEN FREIMANN GUD,0.298,0.201,160,70,node0,germany_un_base_case_2019,combined cycle gas turbine,STADTWERKE MUENCHEN GMBH
KKW ISAR 2,0.33,0,1485,590,node0,germany_un_base_case_2019,nuclear,UNIPER
KKW BROKDORF,0.33,0,1480,590,node0,germany_un_base_case_2019,nuclear,UNIPER
KKW GROHNDE,0.33,0,1430,570,node0,germany_un_base_case_2019,nuclear,UNIPER
SCHKOPAU II A,0.41,0.406,480,240,node0,germany_un_base_case_2019,lignite,UNIPER
SCHKOPAU II B,0.41,0.406,480,240,node0,germany_un_base_case_2019,lignite,UNIPER
HEYDEN 4,0.396,0.335,911,370,node0,germany_un_base_case_2019,hard coal,UNIPER
WILHELMSHAVEN C,0.452,0.335,800,320,node0,germany_un_base_case_2019,hard coal,UNIPER
